,MMSI,hasProblem,hasLocationSpoofing,hasIdentitySpoofing,CountOfClusters
84,770952c6-b74e-4f7f-92be-64d2bbbfd61c,False,False,False,15
85,0c6402d9-bce4-4566-9e64-15e676b5bf79,False,False,False,1
86,6e965f71-c88d-4db3-a7ad-f292da821e83,False,False,False,6
87,9cf52359-c039-4b38-84c7-a45450baadb5,False,False,False,4
88,7657ad93-30b4-447b-828a-acf67428e742,False,False,False,-1
89,ed5e8ae2-b24e-4f84-90ce-39c5cca5a163,False,False,False,5
90,6067bba7-b0d1-49af-a9e3-6a4010ce68fb,False,False,False,12
91,642d0bd7-519c-42d5-a294-215d889da3d1,False,False,False,-1
92,bf8f3064-2bd3-4649-b5b6-43bdf3d6540e,False,False,False,-1
93,8468e143-0d99-43f2-823c-2671d9955d41,False,False,False,13
94,63bf1d30-866e-44d2-80f8-429a351f812d,False,False,False,-1
95,dce44b8c-6c82-418a-8974-8b5df3393651,False,False,False,-1
96,0899bbec-4763-43e6-8a0e-108cd99c6610,False,False,False,-1
97,d2be246b-3a63-49e4-a456-a6a9b3ec4d5b,False,False,False,3
98,ec9b288a-d9f3-41d0-952c-e95ea1d2c622,False,False,False,1
99,e8dd3705-444c-418e-a82d-ea6ee1a01259,False,False,False,12
100,bc6d1f59-d3d3-4d9a-a54f-31c3b6bd5e6b,False,False,False,-1
101,b8458397-4a9c-440e-85e3-e82392f97080,False,False,False,-1
102,2f44923d-b2c1-43f8-a920-9315cc87e3d1,False,False,False,-1
103,073583bb-80ca-4982-bc5c-c41830ed5bb2,False,False,False,-1
104,25f91859-505b-4772-9e30-e4e46a042b89,False,False,False,-1
105,279c62db-f4f6-4d49-9dca-11dd7cf5db21,False,False,False,19
106,cd385f56-d991-4779-8090-50e94605d9f6,False,False,False,12
107,9bde5bb6-7bc3-4b6a-8918-e0523493f4e1,False,False,False,-1
108,0302fba7-4c50-462a-976a-d4ae18973579,False,False,False,-1
109,a29bb7d0-2770-439b-8624-03fbb99bc65c,False,False,False,1
110,d3896694-cca1-4fdf-83ea-d31d0d1a6a12,False,False,False,-1
111,d41ec601-68c0-4735-9533-c5a26f577d96,False,False,False,37
112,f2d17168-a5bf-4c58-ae9d-85a2450a20f6,False,False,False,10
113,dd336ec9-8f59-40f3-8165-e7e1291379a4,False,False,False,-1
114,dbf07bba-9faf-45af-8c5b-b94b72dabdf3,False,False,False,8
115,5b87f659-8c37-4831-9539-b1cae57edd12,False,False,False,7
116,03b0e209-d007-45f3-afc9-178ed35160b8,False,False,False,2
117,1084657a-5522-41a5-ab68-2c22457bc957,False,False,False,-1
118,2ae85552-5087-49ce-a608-1f577539f579,False,False,False,-1
119,2e107f6c-ffa5-4142-8b47-27d184b0e2cd,False,False,False,17
120,fabe2f1a-caba-4eb4-ab74-4d28e699bd14,False,False,False,-1
121,a2b9aefd-b7c0-4c66-b2a7-4963c421b173,False,False,False,-1
122,022d0890-2f8c-483e-871d-bf6216a39c04,False,False,False,8
123,0bab9461-e3d0-4b11-a54b-82a22802ed85,False,False,False,10
124,90347147-77ff-4400-bf97-0b5c32302dda,False,False,False,11
125,4bf5332e-b7b4-435d-b7a8-c65bc07eca7a,False,False,False,2
126,ea8f84b3-8162-4955-bdb2-315cfe03ee4f,False,False,False,-1
127,ee0359fc-93aa-4df4-9de2-3c2805c1d2f3,False,False,False,5
128,5b401cda-c02b-4ba7-b3a0-0fe4ee4a2857,False,False,False,5
129,c5a840a7-8f67-432e-93e9-1d19b7c984c1,False,False,False,-1
130,bd2f0f8b-c2ab-429a-8bf7-24837471ca39,False,False,False,-1
131,f83fe978-74b9-40c2-a141-08b0abee8a2c,False,False,False,-1
132,aa5a0f94-0554-4dbc-a75f-1c8b25cd9514,False,False,False,-1
133,1fed4bb3-982c-4162-8410-95962fce20dc,False,False,False,-1
134,1533393f-bb24-42da-a722-602b21d207c8,False,False,False,-1
135,a0d881e0-d774-4f2d-b2ad-23014b794aac,False,False,False,4
136,cc74d425-380a-4a06-bae3-8b4a13301087,False,False,False,-1
137,cc759b80-d074-46f5-80f1-368e4f147b46,False,False,False,-1
138,947225f9-53b7-490a-a20c-ebaae7f0e379,False,False,False,-1
139,c95556fb-dd75-4b6a-9e47-0f9bd7cfb71c,False,False,False,-1
140,ae213acd-aeed-43dc-978a-af5d94749cb1,False,False,False,8
141,f0db73b3-0486-4dc9-8851-25eeca3d5843,False,False,False,-1
142,9f69c6d8-4589-4a73-b6ec-340bc7f21589,False,False,False,12
143,47787595-2cd2-4995-8c9c-66e78f934eb3,False,False,False,7
144,a25793b6-45c2-4b9f-8886-8223f54da7a1,False,False,False,9
145,e2e233fa-4c81-4fa1-83ab-7fe9f5bd5b7c,False,False,False,-1
146,c9cea3a0-1d1f-4756-984d-de284811a611,False,False,False,18
147,bf98e006-13c3-4c62-a1f0-641dd6e0916f,False,False,False,2
148,ef2b0ec2-847d-4604-9550-f3451b0b1ff0,False,False,False,4
149,50a7bca9-c6bc-4aa4-b866-b64caabf9f49,False,False,False,-1
150,135a3776-a1d0-49b0-aa5c-a8453c2c08cf,False,False,False,-1
151,88720196-3e46-4855-819f-fccaf480a527,False,False,False,-1
